page,indicator_id,indicator_value,country_id,country_value,countryiso3code,date,value,unit,obs_status,decimal,download_date
1,EN.POP.DNST,Population density (people per sq. km of land area),ZH,Africa Eastern and Southern,AFE,2022,NA,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),ZH,Africa Eastern and Southern,AFE,2021,NA,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),ZH,Africa Eastern and Southern,AFE,2020,46.1507105506524,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),ZH,Africa Eastern and Southern,AFE,2019,44.9468296702643,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),ZH,Africa Eastern and Southern,AFE,2018,43.7689846004274,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),ZH,Africa Eastern and Southern,AFE,2017,42.6231602299994,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),ZH,Africa Eastern and Southern,AFE,2016,41.5204784653635,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),ZH,Africa Eastern and Southern,AFE,2015,40.4178377061014,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),ZI,Africa Western and Central,AFW,2022,NA,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),ZI,Africa Western and Central,AFW,2021,NA,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),ZI,Africa Western and Central,AFW,2020,51.5366792865574,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),ZI,Africa Western and Central,AFW,2019,50.2229838665101,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),ZI,Africa Western and Central,AFW,2018,48.9340692566036,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),ZI,Africa Western and Central,AFW,2017,47.6618604476341,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),ZI,Africa Western and Central,AFW,2016,46.4059908598264,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),ZI,Africa Western and Central,AFW,2015,45.1802249225606,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),1A,Arab World,ARB,2022,NA,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),1A,Arab World,ARB,2021,NA,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),1A,Arab World,ARB,2020,34.2907992634507,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),1A,Arab World,ARB,2019,33.6984203026026,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),1A,Arab World,ARB,2018,33.0174180739253,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),1A,Arab World,ARB,2017,32.3395190118262,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),1A,Arab World,ARB,2016,31.6840610024221,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),1A,Arab World,ARB,2015,31.0294362944761,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),S3,Caribbean small states,CSS,2022,NA,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),S3,Caribbean small states,CSS,2021,NA,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),S3,Caribbean small states,CSS,2020,18.3889539335556,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),S3,Caribbean small states,CSS,2019,18.3379078671113,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),S3,Caribbean small states,CSS,2018,18.2157589230579,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),S3,Caribbean small states,CSS,2017,18.040345807089,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),S3,Caribbean small states,CSS,2016,17.9455897245894,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),S3,Caribbean small states,CSS,2015,17.8451327652217,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),B8,Central Europe and the Baltics,CEB,2022,NA,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),B8,Central Europe and the Baltics,CEB,2021,NA,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),B8,Central Europe and the Baltics,CEB,2020,92.4702878927427,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),B8,Central Europe and the Baltics,CEB,2019,92.6689547055008,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),B8,Central Europe and the Baltics,CEB,2018,92.7893185519725,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),B8,Central Europe and the Baltics,CEB,2017,92.969024254002,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),B8,Central Europe and the Baltics,CEB,2016,93.1379540162322,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),B8,Central Europe and the Baltics,CEB,2015,93.3754402553146,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),V2,Early-demographic dividend,EAR,2022,NA,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),V2,Early-demographic dividend,EAR,2021,NA,,,0,2023-08-31
1,EN.POP.DNST,Population density (people per sq. km of land area),V2,Early-demographic dividend,EAR,2020,101.322968635572,,,0,2023-08-31
