country,iso3,g_whoregion,year,budget_lab,budget_oth,budget_staff,cf_lab,cf_staff,cf_tot_domestic,cf_tot_gf,cf_tot_grnt,cf_tot_sources,cf_tot_usaid,download_date
Afghanistan,AFG,EMR,2018,2543262,NA,761828,2473391,741545,533779,3178499,2523675,10698483,4462530,2023-07-28
Afghanistan,AFG,EMR,2019,2797414,5344361,915527,2208668,871931,511854,6533095,3608394,13419792,2766449,2023-07-28
Afghanistan,AFG,EMR,2020,3200000,4000000,2300000,3188713,2248593,1171864,6935551,6871009,17978424,3000000,2023-07-28
Afghanistan,AFG,EMR,2021,1696418,3606831,570776,1696418,570776,NA,7638546,2995053,10633599,NA,2023-07-28
Afghanistan,AFG,EMR,2022,515246,3529753,729629,715071,672737,269339,6876137,1898528,10599950,1555946,2023-07-28
Albania,ALB,EUR,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Albania,ALB,EUR,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Albania,ALB,EUR,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Albania,ALB,EUR,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Albania,ALB,EUR,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Algeria,DZA,AFR,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Algeria,DZA,AFR,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Algeria,DZA,AFR,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Algeria,DZA,AFR,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Algeria,DZA,AFR,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
American Samoa,ASM,WPR,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
American Samoa,ASM,WPR,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
American Samoa,ASM,WPR,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
American Samoa,ASM,WPR,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
American Samoa,ASM,WPR,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Andorra,AND,EUR,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Andorra,AND,EUR,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Andorra,AND,EUR,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Andorra,AND,EUR,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Andorra,AND,EUR,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Angola,AGO,AFR,2018,1526820,4000000,1572700,500000,1572700,3293147,4972863,689553,8955563,0,2023-07-28
Angola,AGO,AFR,2019,17133500,4000000,1572700,7216284,1572700,13692478,2416285,4000000,20108763,0,2023-07-28
Angola,AGO,AFR,2020,742078,NA,173805,742078,173805,17672192,1897542,737293,20307027,0,2023-07-28
Angola,AGO,AFR,2021,16412210,0,173805,2100360,173805,6041429,4213441,NA,10254870,NA,2023-07-28
Angola,AGO,AFR,2022,16412210,0,2582160,2500360,2081059,10831930,4213441,NA,15045371,NA,2023-07-28
Anguilla,AIA,AMR,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Anguilla,AIA,AMR,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Anguilla,AIA,AMR,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Anguilla,AIA,AMR,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Anguilla,AIA,AMR,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Antigua and Barbuda,ATG,AMR,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Antigua and Barbuda,ATG,AMR,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Antigua and Barbuda,ATG,AMR,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Antigua and Barbuda,ATG,AMR,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Antigua and Barbuda,ATG,AMR,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Argentina,ARG,AMR,2018,263032,0,0,263032,0,5189232,0,0,5189232,0,2023-07-28
Argentina,ARG,AMR,2019,263032,0,0,263032,0,2510552,0,0,2510552,0,2023-07-28
Argentina,ARG,AMR,2020,129378,0,0,129378,0,1320638,0,0,1320638,0,2023-07-28
Argentina,ARG,AMR,2021,146665,0,0,146665,0,1086705,0,0,1086705,0,2023-07-28
Argentina,ARG,AMR,2022,464568,NA,NA,464568,NA,1809798,NA,NA,1809798,NA,2023-07-28
Armenia,ARM,EUR,2018,422187,2378816,2557476,422187,2557476,2520982,4307786,0,6828768,0,2023-07-28
Armenia,ARM,EUR,2019,164346,162174,73866,164346,73866,74089,1130669,0,1204758,0,2023-07-28
Armenia,ARM,EUR,2020,633011,3465707,103896,633011,103896,3331208,1805341,NA,5136549,NA,2023-07-28
Armenia,ARM,EUR,2021,690187,2452341,203921,690187,203921,2059940,1288276,NA,3348216,NA,2023-07-28
Armenia,ARM,EUR,2022,333514,1923417,84000,333514,84000,1923417,1319868,NA,3243285,NA,2023-07-28
Aruba,ABW,AMR,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Aruba,ABW,AMR,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Aruba,ABW,AMR,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Aruba,ABW,AMR,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Aruba,ABW,AMR,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Australia,AUS,WPR,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Australia,AUS,WPR,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Australia,AUS,WPR,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Australia,AUS,WPR,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Australia,AUS,WPR,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Austria,AUT,EUR,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-28
