country,iso3,g_whoregion,year,rcvd_lab,rcvd_staff,rcvd_tot_domestic,rcvd_tot_gf,rcvd_tot_grnt,rcvd_tot_sources,rcvd_tot_usaid,download_date
Afghanistan,AFG,EMR,2017,2463321,625971,NA,4088013,4583464,12071477,3400000,2023-07-28
Afghanistan,AFG,EMR,2018,1471438,706095,551664,3946378,3826357,12400144,4075745,2023-07-28
Afghanistan,AFG,EMR,2019,2165197,1956088,284773,6573762,4826365,14984900,3300000,2023-07-28
Afghanistan,AFG,EMR,2020,1540184,509385,0,7613450,4118876,11732326,NA,2023-07-28
Afghanistan,AFG,EMR,2021,900000,300000,726302,6187410,1709510,8623222,NA,2023-07-28
Albania,ALB,EUR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Albania,ALB,EUR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Albania,ALB,EUR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Albania,ALB,EUR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Albania,ALB,EUR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Algeria,DZA,AFR,2017,NA,NA,810820,NA,NA,810820,NA,2023-07-28
Algeria,DZA,AFR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Algeria,DZA,AFR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Algeria,DZA,AFR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Algeria,DZA,AFR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
American Samoa,ASM,WPR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
American Samoa,ASM,WPR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
American Samoa,ASM,WPR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
American Samoa,ASM,WPR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
American Samoa,ASM,WPR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Andorra,AND,EUR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Andorra,AND,EUR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Andorra,AND,EUR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Andorra,AND,EUR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Andorra,AND,EUR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Angola,AGO,AFR,2017,550000,990000,27985663,4972863,0,32958526,0,2023-07-28
Angola,AGO,AFR,2018,550000,990000,25830058,3758779,8672452,38261289,NA,2023-07-28
Angola,AGO,AFR,2019,784599,173805,2856381,2416285,120054,5392720,0,2023-07-28
Angola,AGO,AFR,2020,0,173805,5373932,1897542,153754,7425228,0,2023-07-28
Angola,AGO,AFR,2021,213166,173805,5587098,1897542,153754,7638394,0,2023-07-28
Anguilla,AIA,AMR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Anguilla,AIA,AMR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Anguilla,AIA,AMR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Anguilla,AIA,AMR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Anguilla,AIA,AMR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Antigua and Barbuda,ATG,AMR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Antigua and Barbuda,ATG,AMR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Antigua and Barbuda,ATG,AMR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Antigua and Barbuda,ATG,AMR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Antigua and Barbuda,ATG,AMR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Argentina,ARG,AMR,2017,0,0,3276179,0,0,3276179,0,2023-07-28
Argentina,ARG,AMR,2018,0,0,1789153,0,0,1789153,0,2023-07-28
Argentina,ARG,AMR,2019,0,0,2532872,0,0,2532872,0,2023-07-28
Argentina,ARG,AMR,2020,272888,0,1735158,0,0,1735158,0,2023-07-28
Argentina,ARG,AMR,2021,175736,NA,2003716,NA,NA,2003716,NA,2023-07-28
Armenia,ARM,EUR,2017,149511,3077775,3021843,1591001,0,4612844,0,2023-07-28
Armenia,ARM,EUR,2018,2031383,35119,25883,4048307,0,4074190,0,2023-07-28
Armenia,ARM,EUR,2019,171472,85257,3119098,1474278,NA,4593376,NA,2023-07-28
Armenia,ARM,EUR,2020,291415,131069,2179342,851841,NA,3031183,NA,2023-07-28
Armenia,ARM,EUR,2021,1272288,79935,1948472,1561603,NA,3510075,NA,2023-07-28
Aruba,ABW,AMR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Aruba,ABW,AMR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Aruba,ABW,AMR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Aruba,ABW,AMR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Aruba,ABW,AMR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Australia,AUS,WPR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Australia,AUS,WPR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Australia,AUS,WPR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Australia,AUS,WPR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Australia,AUS,WPR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Austria,AUT,EUR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Austria,AUT,EUR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Austria,AUT,EUR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Austria,AUT,EUR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Austria,AUT,EUR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Azerbaijan,AZE,EUR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Azerbaijan,AZE,EUR,2018,914655,9658583,15349747,2356476,NA,17706223,NA,2023-07-28
Azerbaijan,AZE,EUR,2019,642024,8827541,16519343,3522493,NA,20041836,NA,2023-07-28
Azerbaijan,AZE,EUR,2020,916664,8920053,11195354,2604906,NA,13800260,NA,2023-07-28
Azerbaijan,AZE,EUR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
